Timestamp,Electric Demand (Student 032 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 032 > Weather Station) [(deg. F)],Outdoor Temperature (Student 032 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 032 > Electric Meter) [(kWh)],Predicted Electric Demand kWh (Student 032 > Electric Meter) [(kWh)]
02/06/2016 16:00:00,81.7615,4.2575,28.715,76.4925,73.8565625
02/07/2016 00:00:00,82.3445,4.8425,24.9125,74.5,75.4193375
02/07/2016 08:00:00,77.0225,8.8925,23.4725,71.175,71.2825125
02/07/2016 16:00:00,76.9035,18.41,30.11,70.25375,72.9267625
02/08/2016 00:00:00,80.899,20.39,24.98,68.29875,74.4691125
02/08/2016 08:00:00,134.3355,12.74,22.3475,115.28375,120.27985
02/08/2016 16:00:00,151.8855,5.7425,27.14,126.63125,136.5790125
02/09/2016 00:00:00,89.058,3.695,17.6,80.05,79.3684625
02/09/2016 08:00:00,129.498,4.1,15.6875,113.89875,119.9365875
02/09/2016 16:00:00,148.491,0.6575,23.09,128.07,135.8698625
02/10/2016 00:00:00,86.722,0.77,16.025,81.46875,79.4711125
02/10/2016 08:00:00,129.2635,-2.965,11.2325,113.715,119.2476625
02/10/2016 16:00:00,144.7665,6.395,22.7075,128.145,137.1851875
02/11/2016 00:00:00,87.2575,13.865,22.01,79.0675,79.3722
02/11/2016 08:00:00,129.802,24.35,27.275,112.46375,120.8635625
02/11/2016 16:00:00,132.6455,34.115,34.88,127.9975,137.8390125
02/12/2016 00:00:00,78.8325,33.6425,34.88,74.87625,78.974025
02/12/2016 08:00:00,122.66,28.8725,32.8775,113.83,121.0937
02/12/2016 16:00:00,147.895,23.765,36.77,126.1375,138.4563
02/13/2016 00:00:00,90.987,21.8525,30.4925,75.4775,78.8167625
02/13/2016 08:00:00,90.6415,22.6175,29.0075,73.48375,71.0589875
02/13/2016 16:00:00,90.102,27.005,31.6175,68.31625,76.2889125
02/14/2016 00:00:00,82.9355,25.0025,30.11,66.85125,75.209525
02/14/2016 08:00:00,83.3515,12.02,24.755,70.40875,77.316025
02/14/2016 16:00:00,83.8475,8.6225,29.9975,73.07,80.8726625
02/15/2016 00:00:00,87.597,7.6875,23.66375,75.215,75.3859375
02/15/2016 08:00:00,96.405,-3.3925,17.015,113.865,116.8823375
02/15/2016 16:00:00,106.5335,-2.8525,27.995,125.64625,135.216825
02/16/2016 00:00:00,88.309,-0.5125,15.755,79.8975,78.7707625
02/16/2016 08:00:00,127.809,9.9725,20.705,112.6875,118.8902625
02/16/2016 16:00:00,137.557,29.12,31.865,127.135,139.0146875
02/17/2016 00:00:00,81.171,21.605,26.3975,77.01,80.1007875
02/17/2016 08:00:00,123.6005,20.12,24.6425,114.38,121.6329625
02/17/2016 16:00:00,137.413,32.3825,35.8925,128.0075,138.4558
02/18/2016 00:00:00,75.484,31.865,36.365,76.815,79.6316625
02/18/2016 08:00:00,130.322,26.87,37.6475,116.6625,120.219575
02/18/2016 16:00:00,151.916,25.9925,42.125,132.56375,143.7154
02/19/2016 00:00:00,85.051,31.4825,34.9925,75.57375,79.3681375
02/19/2016 08:00:00,126.28,33.395,34.6325,112.5825,120.6411875
02/19/2016 16:00:00,135.5055,40.4825,40.8875,127.76125,136.1261375
02/20/2016 00:00:00,75.848,40.1225,41.3825,71.9625,77.9566
02/20/2016 08:00:00,77.026,29.8625,38.165,73.12625,76.0577
02/20/2016 16:00:00,82.1825,23.405,45.5225,74.9675,73.8058625
02/21/2016 00:00:00,79.0805,26.915,41.765,73.97875,76.5547125
02/21/2016 08:00:00,73.1345,29.2325,40.4825,71.76375,74.1631
02/21/2016 16:00:00,73.2435,32.99,45.455,72.22,73.2142125
02/22/2016 00:00:00,79.8135,27.2525,40.9775,74.3925,78.4319875
02/22/2016 08:00:00,138.8005,15.125,35.87,118.2,122.125175
02/22/2016 16:00:00,151.5535,9.14,32.5175,127.625,140.9824
02/23/2016 00:00:00,88.1375,6.17,23.8775,81.15125,79.74275
